2024-01-17 19:36:46,611 INFO    StreamThr :3672153 [internal.py:wandb_internal():86] W&B internal server running at pid: 3672153, started at: 2024-01-17 19:36:46.611582
2024-01-17 19:36:46,613 DEBUG   HandlerThread:3672153 [handler.py:handle_request():146] handle_request: status
2024-01-17 19:36:46,614 INFO    WriterThread:3672153 [datastore.py:open_for_write():87] open: /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/run-20240117_193646-3stehc87/run-3stehc87.wandb
2024-01-17 19:36:46,614 DEBUG   SenderThread:3672153 [sender.py:send():382] send: header
2024-01-17 19:36:46,616 DEBUG   SenderThread:3672153 [sender.py:send():382] send: run
2024-01-17 19:36:47,044 INFO    SenderThread:3672153 [dir_watcher.py:__init__():211] watching files in: /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/run-20240117_193646-3stehc87/files
2024-01-17 19:36:47,045 INFO    SenderThread:3672153 [sender.py:_start_run_threads():1136] run started: 3stehc87 with start time 1705541806.611306
2024-01-17 19:36:47,048 DEBUG   HandlerThread:3672153 [handler.py:handle_request():146] handle_request: check_version
2024-01-17 19:36:47,049 DEBUG   SenderThread:3672153 [sender.py:send_request():409] send_request: check_version
2024-01-17 19:36:47,126 DEBUG   HandlerThread:3672153 [handler.py:handle_request():146] handle_request: run_start
2024-01-17 19:36:47,311 DEBUG   HandlerThread:3672153 [system_info.py:__init__():27] System info init
2024-01-17 19:36:47,311 DEBUG   HandlerThread:3672153 [system_info.py:__init__():42] System info init done
2024-01-17 19:36:47,311 INFO    HandlerThread:3672153 [system_monitor.py:start():194] Starting system monitor
2024-01-17 19:36:47,311 INFO    SystemMonitor:3672153 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-17 19:36:47,311 INFO    HandlerThread:3672153 [system_monitor.py:probe():214] Collecting system info
2024-01-17 19:36:47,311 INFO    SystemMonitor:3672153 [interfaces.py:start():190] Started cpu monitoring
2024-01-17 19:36:47,312 INFO    SystemMonitor:3672153 [interfaces.py:start():190] Started disk monitoring
2024-01-17 19:36:47,312 INFO    SystemMonitor:3672153 [interfaces.py:start():190] Started gpu monitoring
2024-01-17 19:36:47,313 INFO    SystemMonitor:3672153 [interfaces.py:start():190] Started memory monitoring
2024-01-17 19:36:47,313 INFO    SystemMonitor:3672153 [interfaces.py:start():190] Started network monitoring
2024-01-17 19:36:47,360 DEBUG   HandlerThread:3672153 [system_info.py:probe():151] Probing system
2024-01-17 19:36:47,363 DEBUG   HandlerThread:3672153 [system_info.py:_probe_git():136] Probing git
2024-01-17 19:36:47,375 DEBUG   HandlerThread:3672153 [system_info.py:_probe_git():144] Probing git done
2024-01-17 19:36:47,375 DEBUG   HandlerThread:3672153 [system_info.py:probe():199] Probing system done
